ProcedureCode,ProcedureType,ProcedureSubCode,Description,Price
OFFICE FEES1,OFFICE FEES,1,Office Call,32
OFFICE FEES2,OFFICE FEES,2,Emergency,100
OFFICE FEES3,OFFICE FEES,3,Reck,24
GROOMING1,GROOMING,1,Bath,15
GROOMING2,GROOMING,2,Flea Dip,15
GROOMING3,GROOMING,3,Flea Spray,10
VACCINATIONS1,VACCINATIONS,1,Galaxie (DHLPP),15
VACCINATIONS2,VACCINATIONS,2,Leukemia,20
VACCINATIONS3,VACCINATIONS,3,Lyme,15
VACCINATIONS4,VACCINATIONS,4,PCR,15
VACCINATIONS5,VACCINATIONS,5,Rabies,10
VACCINATIONS6,VACCINATIONS,6,Bordetella,10
HOSPITALIZATION1,HOSPITALIZATION,1,All Hospitalization,25
ORTHOPEDIC1,ORTHOPEDIC,1,Amput. per lim thor.,400
ORTHOPEDIC2,ORTHOPEDIC,2,Casting,97
ORTHOPEDIC3,ORTHOPEDIC,3,Re-Casting,62
ORTHOPEDIC4,ORTHOPEDIC,4,Fem. head Ostec.,420
ORTHOPEDIC5,ORTHOPEDIC,5,Lx Patella Repair,305
ORTHOPEDIC6,ORTHOPEDIC,6,Metamason Splint,50
ORTHOPEDIC7,ORTHOPEDIC,7,Pinning-I.M.,325
ORTHOPEDIC8,ORTHOPEDIC,8,Pin Removal,68
ORTHOPEDIC9,ORTHOPEDIC,9,Cast Removal,40
GENERAL SURGERIES1,GENERAL SURGERIES,1,Anal Gland Caut,150
GENERAL SURGERIES2,GENERAL SURGERIES,2,Aural Hematoma,108
GENERAL SURGERIES3,GENERAL SURGERIES,3,Declaw,125
GENERAL SURGERIES4,GENERAL SURGERIES,4,Dissolvable Suture,15
GENERAL SURGERIES5,GENERAL SURGERIES,5,Ear Crop,350
GENERAL SURGERIES6,GENERAL SURGERIES,6,Gastric Torsion,450
GENERAL SURGERIES7,GENERAL SURGERIES,7,Hernia,390
GENERAL SURGERIES8,GENERAL SURGERIES,8,Umbilical,175
GENERAL SURGERIES9,GENERAL SURGERIES,9,Perineal,375
GENERAL SURGERIES10,GENERAL SURGERIES,10,Unilat Inquinal,195
GENERAL SURGERIES11,GENERAL SURGERIES,11,Intestinal Anas,775
GENERAL SURGERIES12,GENERAL SURGERIES,12,Open Chest Surgery,500
GENERAL SURGERIES13,GENERAL SURGERIES,13,Perineal Adenoma,175
GENERAL SURGERIES14,GENERAL SURGERIES,14,Peritoneal Lavage,85
GENERAL SURGERIES15,GENERAL SURGERIES,15,Pyloric Stenosis,425
GENERAL SURGERIES16,GENERAL SURGERIES,16,Splenectomy,375
GENERAL SURGERIES17,GENERAL SURGERIES,17,Radical Mastectomy,450
GENERAL SURGERIES18,GENERAL SURGERIES,18,Salivary Cyst Ex,570
GENERAL SURGERIES19,GENERAL SURGERIES,19,Tail Dock-Amputation,250
