TransactionID,Country,PetID,Date,ProcedureCode
2275,Latvia,E1-4929,06/03/2018,GENERAL SURGERIES7
2276,Latvia,F9-5921,25/06/2018,VACCINATIONS5
2270,Latvia,E2-1984,29/09/2018,GROOMING1
2260,Latvia,E7-6724,15/06/2019,VACCINATIONS5
2266,Estonia,F7-6277,31/07/2018,GENERAL SURGERIES8
2244,Lithuania,E8-9343,30/12/2018,VACCINATIONS5
2250,Estonia,F0-7506,13/11/2018,VACCINATIONS5
2243,Latvia,F4-7865,12/02/2018,VACCINATIONS5
2242,Estonia,F5-2627,14/05/2018,GROOMING1
2240,Estonia,F1-3004,24/09/2018,VACCINATIONS5
2235,Lithuania,E2-2487,25/10/2018,VACCINATIONS5
2234,Estonia,E9-3748,14/08/2018,VACCINATIONS5
2236,Estonia,F0-7245,17/07/2018,VACCINATIONS5
2219,Lithuania,E2-7685,01/09/2018,VACCINATIONS5
2218,Lithuania,E5-2506,05/03/2018,VACCINATIONS5
2225,Estonia,E9-7968,06/01/2018,HOSPITALIZATION1
2229,Estonia,F0-7147,11/06/2018,GROOMING3
2209,Estonia,E7-9436,04/07/2018,VACCINATIONS5
2205,Lithuania,E8-1905,26/05/2019,VACCINATIONS5
2213,Lithuania,F6-5391,08/06/2018,GROOMING1
2210,Latvia,F6-7379,19/02/2019,VACCINATIONS5
2201,Lithuania,E7-1118,01/03/2018,VACCINATIONS5
2202,Lithuania,F4-7898,29/11/2018,VACCINATIONS5
2198,Lithuania,E7-1641,13/09/2018,VACCINATIONS5
2189,Estonia,E1-1927,15/02/2019,VACCINATIONS5
2197,Estonia,E6-8162,12/09/2018,GENERAL SURGERIES9
2190,Lithuania,E9-3015,07/03/2018,VACCINATIONS5
2191,Estonia,F2-9533,26/09/2019,VACCINATIONS5
2188,Lithuania,E4-9039,16/02/2019,VACCINATIONS5
2181,Latvia,E2-2444,31/07/2019,VACCINATIONS5
2178,Latvia,E3-5071,20/06/2019,VACCINATIONS5
2186,Latvia,E4-9796,14/11/2018,VACCINATIONS5
2177,Latvia,F0-1280,05/08/2018,VACCINATIONS5
2185,Lithuania,F5-4303,08/07/2018,VACCINATIONS5
2187,Estonia,L4-6292,11/05/2019,VACCINATIONS5
2171,Latvia,E8-2691,04/04/2018,VACCINATIONS5
2172,Lithuania,F0-6222,04/10/2018,VACCINATIONS5
2167,Lithuania,E2-8215,19/03/2018,HOSPITALIZATION1
2166,Latvia,F2-3322,22/12/2018,VACCINATIONS5
2164,Latvia,H2-8586,09/11/2018,VACCINATIONS5
2162,Latvia,E8-9475,09/08/2019,GENERAL SURGERIES12
2148,Latvia,E1-8642,12/04/2018,GROOMING3
2133,Latvia,E1-8901,28/10/2018,VACCINATIONS5
2149,Estonia,E4-5197,29/09/2019,GROOMING3
2139,Estonia,E5-1974,26/09/2018,VACCINATIONS5
2156,Latvia,E9-8835,21/06/2019,GROOMING1
2142,Latvia,E9-9605,22/05/2018,OFFICE FEES1
2144,Latvia,F3-9876,04/08/2019,GENERAL SURGERIES19
2131,Estonia,F5-9207,08/02/2018,VACCINATIONS5
2136,Lithuania,F6-4090,27/09/2018,VACCINATIONS5
2151,Estonia,F6-9781,14/01/2018,GROOMING3
